Time (ms),GUI.SCRN_NO,GUI.RENC_CLK,GUI.RENC_ACLK,GUI.RENC_SW,Time (ms),LED_CNTRL.LED_OVRRD,LED_CNTRL.XLED_PWM_Mode,LED_CNTRL.YLED_PWM_Mode,LED_CNTRL.ZLED_PWM_Mode,LED_CNTRL.XLED_state,LED_CNTRL.YLED_state,LED_CNTRL.ZLED_state,LED_CNTRL.TLED_OVRRD,LED_CNTRL.TLED_mode,LED_CNTRL.XLED_Brightness,LED_CNTRL.YLED_Brightness,LED_CNTRL.ZLED_Brightness,Time (ms),IMU_X_Raw.XACCEL_raw,IMU_X_Raw.XGYRO_raw,Time (ms),IMU_Y_Raw.YACCEL_raw,IMU_Y_Raw.YGYRO_raw,Time (ms),IMU_Z_Raw.ZACCEL_raw,IMU_Z_Raw.ZGYRO_raw,Time (ms),IMU_Temp.IMU_Temp_Raw,IMU_Temp.IMU_Temp_Processed,Time (ms),IMU_XACCEL_Processed.IMU_XACCEL_Processed,Time (ms),IMU_YACCEL_Processed.IMU_YACCEL_Processed,Time (ms),IMU_ZACCEL_Processed.IMU_ZACCEL_Processed,Time (ms),IMU_XGYRO_Processed.IMU_XGYRO_Processed,Time (ms),IMU_YGYRO_Processed.IMU_YGYRO_Processed,Time (ms),IMU_ZGYRO_Processed.IMU_ZGYRO_Processed,Time (ms),Roll.Roll_Accel,Roll.Roll_Gyro,Roll.Roll_CF,Time (ms),Pitch.Pitch_Accel,Pitch.Pitch_Gyro,Pitch.Pitch_CF,Time (ms),Yaw.Yaw_Accel,Yaw.Yaw_Gyro,Yaw.Yaw_CF
136627.000000,0.000000,0.000000,0.000000,0.000000,136632.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100548.000000,64140.000000,65340.000000,100552.000000,104.000000,65489.000000,100552.000000,15184.000000,21.000000,,,,100552.000000,8.000000,100552.000000,1.000000,100552.000000,998.000000,100557.000000,-225.000000,100548.000000,-308.000000,100548.000000,-53.000000,116543.000000,0.000000,0.000000,0.000000,116543.000000,0.000000,0.000000,0.000000,116545.000000,0.000000,0.000000,0.000000
136721.000000,0.000000,0.000000,0.000000,0.000000,136728.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100557.000000,64120.000000,65345.000000,100562.000000,260.000000,65494.000000,100562.000000,15228.000000,19.000000,,,,100562.000000,7.000000,100562.000000,10.000000,100562.000000,1001.000000,100564.000000,-73.000000,100557.000000,-186.000000,100557.000000,-53.000000,116593.000000,0.000000,0.000000,0.000000,116593.000000,0.000000,0.000000,0.000000,116593.000000,0.000000,0.000000,0.000000
136816.000000,0.000000,0.000000,0.000000,0.000000,136822.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100565.000000,64120.000000,65345.000000,100572.000000,260.000000,65494.000000,100572.000000,15228.000000,19.000000,,,,100572.000000,7.000000,100572.000000,10.000000,100572.000000,1001.000000,100576.000000,-73.000000,100565.000000,-33.000000,100565.000000,-114.000000,116640.000000,0.000000,0.000000,0.000000,116640.000000,0.000000,0.000000,0.000000,116640.000000,0.000000,0.000000,0.000000
136912.000000,0.000000,0.000000,0.000000,0.000000,136917.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100576.000000,63952.000000,65345.000000,100581.000000,296.000000,65501.000000,100581.000000,15192.000000,25.000000,,,,100581.000000,-3.000000,100581.000000,13.000000,100581.000000,999.000000,100583.000000,-73.000000,100576.000000,-33.000000,100576.000000,-114.000000,116690.000000,0.000000,0.000000,0.000000,116690.000000,0.000000,0.000000,0.000000,116690.000000,0.000000,0.000000,0.000000
137007.000000,0.000000,0.000000,0.000000,0.000000,137014.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100586.000000,64044.000000,65348.000000,100590.000000,220.000000,65514.000000,100590.000000,15172.000000,22.000000,,,,100590.000000,2.000000,100590.000000,8.000000,100590.000000,998.000000,100595.000000,19.000000,100583.000000,180.000000,100583.000000,69.000000,116733.000000,0.000000,0.000000,0.000000,116735.000000,0.000000,0.000000,0.000000,116736.000000,0.000000,0.000000,0.000000
137103.000000,0.000000,0.000000,0.000000,0.000000,137107.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100595.000000,64024.000000,65353.000000,100600.000000,176.000000,65512.000000,100600.000000,15172.000000,23.000000,,,,100600.000000,1.000000,100600.000000,5.000000,100600.000000,998.000000,100605.000000,172.000000,100595.000000,577.000000,100595.000000,-22.000000,116783.000000,0.000000,0.000000,0.000000,116783.000000,0.000000,0.000000,0.000000,116783.000000,0.000000,0.000000,0.000000
137198.000000,0.000000,0.000000,0.000000,0.000000,137202.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100605.000000,64024.000000,65353.000000,100610.000000,176.000000,65512.000000,100610.000000,15172.000000,23.000000,,,,100610.000000,1.000000,100610.000000,5.000000,100610.000000,998.000000,100612.000000,172.000000,100605.000000,516.000000,100605.000000,8.000000,116828.000000,0.000000,0.000000,0.000000,116828.000000,0.000000,0.000000,0.000000,116830.000000,0.000000,0.000000,0.000000
137291.000000,0.000000,0.000000,0.000000,0.000000,137297.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100612.000000,64072.000000,65350.000000,100619.000000,120.000000,65491.000000,100619.000000,15264.000000,23.000000,,,,100619.000000,4.000000,100619.000000,2.000000,100619.000000,1003.000000,100623.000000,80.000000,100612.000000,516.000000,100612.000000,8.000000,116878.000000,0.000000,0.000000,0.000000,116878.000000,0.000000,0.000000,0.000000,116878.000000,0.000000,0.000000,0.000000
137386.000000,0.000000,0.000000,0.000000,0.000000,137392.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100628.000000,64156.000000,65353.000000,100628.000000,40.000000,65487.000000,100628.000000,15212.000000,19.000000,,,,100629.000000,9.000000,100631.000000,-3.000000,100631.000000,1000.000000,100631.000000,172.000000,100623.000000,-125.000000,100623.000000,8.000000,116923.000000,0.000000,0.000000,0.000000,116923.000000,0.000000,0.000000,0.000000,116925.000000,0.000000,0.000000,0.000000
137482.000000,0.000000,0.000000,0.000000,0.000000,137487.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100636.000000,64216.000000,65345.000000,100638.000000,116.000000,65481.000000,100638.000000,15320.000000,17.000000,,,,100638.000000,13.000000,100638.000000,2.000000,100638.000000,1007.000000,100643.000000,-73.000000,100631.000000,-247.000000,100631.000000,-114.000000,116976.000000,0.000000,0.000000,0.000000,116976.000000,0.000000,0.000000,0.000000,116976.000000,0.000000,0.000000,0.000000
