Time (ms),GUI.SCRN_NO,Time (ms),GUI.RENC_CLK,Time (ms),GUI.RENC_ACLK,Time (ms),GUI.RENC_SW,Time (ms),LED_CNTRL.LED_OVRRD,Time (ms),LED_CNTRL.XLED_PWM_Mode,Time (ms),LED_CNTRL.YLED_PWM_Mode,Time (ms),LED_CNTRL.ZLED_PWM_Mode,Time (ms),LED_CNTRL.XLED_state,Time (ms),LED_CNTRL.YLED_state,Time (ms),LED_CNTRL.ZLED_state,Time (ms),LED_CNTRL.TLED_OVRRD,Time (ms),LED_CNTRL.TLED_mode,Time (ms),LED_CNTRL.XLED_Brightness,Time (ms),LED_CNTRL.YLED_Brightness,Time (ms),LED_CNTRL.ZLED_Brightness,Time (ms),IMU_X_Raw.XACCEL_raw,Time (ms),IMU_X_Raw.XGYRO_raw,Time (ms),IMU_Y_Raw.YACCEL_raw,Time (ms),IMU_Y_Raw.YGYRO_raw,Time (ms),IMU_Z_Raw.ZACCEL_raw,Time (ms),IMU_Z_Raw.ZGYRO_raw,Time (ms),IMU_Temp.IMU_Temp_Raw,Time (ms),IMU_Temp.IMU_Temp_Processed,Time (ms),IMU_XACCEL_Processed.IMU_XACCEL_Processed,Time (ms),IMU_YACCEL_Processed.IMU_YACCEL_Processed,Time (ms),IMU_ZACCEL_Processed.IMU_ZACCEL_Processed,Time (ms),IMU_XGYRO_Processed.IMU_XGYRO_Processed,Time (ms),IMU_YGYRO_Processed.IMU_YGYRO_Processed,Time (ms),IMU_ZGYRO_Processed.IMU_ZGYRO_Processed,Time (ms),Roll.Roll_Accel,Time (ms),Roll.Roll_Gyro,Time (ms),Roll.Roll_CF,Time (ms),Pitch.Pitch_Accel,Time (ms),Pitch.Pitch_Gyro,Time (ms),Pitch.Pitch_CF,Time (ms),Yaw.Yaw_Accel,Time (ms),Yaw.Yaw_Gyro,Time (ms),Yaw.Yaw_CF
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198897.000000,64020.000000,198897.000000,65348.000000,198905.000000,180.000000,198905.000000,65497.000000,198905.000000,15164.000000,198905.000000,29.000000,,,,,198894.000000,1.000000,198894.000000,5.000000,198894.000000,997.000000,198896.000000,19.000000,198896.000000,58.000000,198897.000000,192.000000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198908.000000,64072.000000,198908.000000,65353.000000,198913.000000,264.000000,198913.000000,65498.000000,198913.000000,15152.000000,198913.000000,25.000000,,,,,198905.000000,1.000000,198905.000000,5.000000,198905.000000,997.000000,198905.000000,19.000000,198906.000000,58.000000,198906.000000,192.000000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198915.000000,63972.000000,198915.000000,65355.000000,198922.000000,156.000000,198922.000000,65505.000000,198922.000000,15160.000000,198922.000000,16.000000,,,,,198913.000000,4.000000,198913.000000,11.000000,198913.000000,996.000000,198915.000000,172.000000,198915.000000,89.000000,198915.000000,69.000000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198927.000000,64096.000000,198927.000000,65350.000000,198931.000000,96.000000,198931.000000,65499.000000,198931.000000,15164.000000,198931.000000,24.000000,,,,,198922.000000,-2.000000,198922.000000,4.000000,198922.000000,997.000000,198927.000000,233.000000,198927.000000,302.000000,198927.000000,-205.000000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198936.000000,64096.000000,198936.000000,65350.000000,198941.000000,96.000000,198941.000000,65499.000000,198941.000000,15164.000000,198941.000000,24.000000,,,,,198931.000000,6.000000,198931.000000,0.000000,198931.000000,997.000000,198936.000000,80.000000,198936.000000,119.000000,198936.000000,39.000000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198951.000000,64156.000000,198951.000000,65347.000000,198951.000000,132.000000,198951.000000,65490.000000,198951.000000,15092.000000,198951.000000,27.000000,,,,,198941.000000,6.000000,198941.000000,0.000000,198941.000000,997.000000,198945.000000,80.000000,198945.000000,119.000000,198945.000000,39.000000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198957.000000,64116.000000,198957.000000,65345.000000,198961.000000,56.000000,198961.000000,65481.000000,198961.000000,15256.000000,198961.000000,32.000000,,,,,198951.000000,9.000000,198953.000000,3.000000,198953.000000,993.000000,198953.000000,-11.000000,198954.000000,-155.000000,198954.000000,130.000000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198963.000000,64112.000000,198963.000000,65342.000000,198970.000000,36.000000,198970.000000,65481.000000,198970.000000,15208.000000,198970.000000,23.000000,,,,,198961.000000,7.000000,198961.000000,-2.000000,198961.000000,1003.000000,198963.000000,-73.000000,198963.000000,-430.000000,198963.000000,283.000000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198975.000000,64020.000000,198975.000000,65341.000000,198979.000000,96.000000,198979.000000,65488.000000,198979.000000,15296.000000,198979.000000,19.000000,,,,,198970.000000,7.000000,198970.000000,-3.000000,198970.000000,1000.000000,198975.000000,-164.000000,198975.000000,-430.000000,198975.000000,8.000000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198982.000000,64020.000000,198982.000000,65341.000000,198989.000000,96.000000,198989.000000,65488.000000,198989.000000,15296.000000,198989.000000,19.000000,,,,,198979.000000,1.000000,198979.000000,0.000000,198979.000000,1005.000000,198982.000000,-195.000000,198982.000000,-216.000000,198982.000000,-114.000000,,,,,,,,,,,,,,,,,,
