FID,Data Bytes,Direction,Checksum,Time (ms)
3,[  255  :  163  :  250  :  108  ],Rx,PASSED,3892
4,[  255  :  244  :  254  :  220  ],Rx,PASSED,3908
5,[  0  :  12  :  60  :  120  ],Rx,PASSED,3918
7,[  255  :  255  :  255  :  236  ],Rx,PASSED,3933
8,[  255  :  255  :  255  :  239  ],Rx,PASSED,3942
9,[  0  :  0  :  3  :  227  ],Rx,PASSED,3953
10,[  0  :  0  :  0  :  212  ],Rx,PASSED,3967
11,[  0  :  0  :  1  :  143  ],Rx,PASSED,3982
12,[  0  :  0  :  0  :  28  ],Rx,PASSED,3991
1,[  0  :  224  :  94  :  192  ],Rx,PASSED,4007
2,[  0  :  0  :  0  :  0  ],Rx,PASSED,4018
30,[  0  :  0  :  0  :  0  ],Rx,PASSED,4033
3,[  255  :  160  :  250  :  192  ],Rx,PASSED,4040
4,[  255  :  240  :  254  :  120  ],Rx,PASSED,4054
5,[  0  :  7  :  61  :  132  ],Rx,PASSED,4063
7,[  255  :  255  :  255  :  241  ],Rx,PASSED,4072
8,[  255  :  255  :  255  :  233  ],Rx,PASSED,4081
9,[  0  :  0  :  3  :  244  ],Rx,PASSED,4093
10,[  0  :  0  :  0  :  29  ],Rx,PASSED,4106
11,[  0  :  0  :  0  :  155  ],Rx,PASSED,4112
12,[  255  :  255  :  254  :  235  ],Rx,PASSED,4126
13,[  127  :  175  :  235  :  250  ],Rx,PASSED,4136
14,[  127  :  255  :  244  :  4  ],Rx,PASSED,4147
15,[  127  :  191  :  236  :  0  ],Rx,PASSED,4161
3,[  255  :  157  :  251  :  20  ],Rx,PASSED,4172
4,[  255  :  234  :  254  :  160  ],Rx,PASSED,4186
5,[  0  :  10  :  61  :  4  ],Rx,PASSED,4196
7,[  255  :  255  :  255  :  247  ],Rx,PASSED,4206
8,[  255  :  255  :  255  :  235  ],Rx,PASSED,4218
9,[  0  :  0  :  3  :  236  ],Rx,PASSED,4225
10,[  255  :  255  :  255  :  102  ],Rx,PASSED,4235
11,[  255  :  255  :  255  :  45  ],Rx,PASSED,4251
12,[  255  :  255  :  255  :  162  ],Rx,PASSED,4259
3,[  255  :  159  :  250  :  220  ],Rx,PASSED,4273
4,[  255  :  232  :  254  :  148  ],Rx,PASSED,4285
5,[  0  :  10  :  60  :  192  ],Rx,PASSED,4293
7,[  255  :  255  :  255  :  243  ],Rx,PASSED,4307
8,[  255  :  255  :  255  :  234  ],Rx,PASSED,4317
9,[  0  :  0  :  3  :  232  ],Rx,PASSED,4330
10,[  255  :  255  :  255  :  224  ],Rx,PASSED,4344
11,[  255  :  255  :  254  :  179  ],Rx,PASSED,4353
12,[  255  :  255  :  255  :  162  ],Rx,PASSED,4363
3,[  255  :  156  :  250  :  224  ],Rx,PASSED,4375
4,[  255  :  228  :  254  :  76  ],Rx,PASSED,4385
5,[  0  :  12  :  60  :  200  ],Rx,PASSED,4393
7,[  255  :  255  :  255  :  243  ],Rx,PASSED,4403
8,[  255  :  255  :  255  :  230  ],Rx,PASSED,4417
9,[  0  :  0  :  3  :  232  ],Rx,PASSED,4426
10,[  255  :  255  :  255  :  41  ],Rx,PASSED,4442
11,[  255  :  255  :  253  :  190  ],Rx,PASSED,4453
12,[  0  :  0  :  0  :  28  ],Rx,PASSED,4468
3,[  255  :  156  :  250  :  224  ],Rx,PASSED,4477
4,[  255  :  228  :  254  :  76  ],Rx,PASSED,4486
5,[  0  :  12  :  60  :  200  ],Rx,PASSED,4494
7,[  255  :  255  :  255  :  243  ],Rx,PASSED,4509
8,[  255  :  255  :  255  :  230  ],Rx,PASSED,4523
9,[  0  :  0  :  3  :  232  ],Rx,PASSED,4529
10,[  255  :  255  :  255  :  41  ],Rx,PASSED,4540
11,[  255  :  255  :  253  :  190  ],Rx,PASSED,4555
12,[  0  :  0  :  0  :  28  ],Rx,PASSED,4567
3,[  255  :  157  :  250  :  152  ],Rx,PASSED,4583
4,[  255  :  240  :  254  :  144  ],Rx,PASSED,4593
5,[  0  :  10  :  60  :  52  ],Rx,PASSED,4608
7,[  255  :  255  :  255  :  239  ],Rx,PASSED,4621
8,[  255  :  255  :  255  :  234  ],Rx,PASSED,4635
9,[  0  :  0  :  3  :  223  ],Rx,PASSED,4645
10,[  255  :  255  :  255  :  102  ],Rx,PASSED,4654
11,[  0  :  0  :  0  :  155  ],Rx,PASSED,4663
12,[  255  :  255  :  255  :  162  ],Rx,PASSED,4676
13,[  127  :  175  :  235  :  250  ],Rx,PASSED,4687
14,[  64  :  15  :  244  :  5  ],Rx,PASSED,4697
15,[  127  :  191  :  236  :  0  ],Rx,PASSED,4708
3,[  255  :  161  :  250  :  128  ],Rx,PASSED,4722
4,[  255  :  244  :  254  :  208  ],Rx,PASSED,4731
5,[  0  :  12  :  60  :  228  ],Rx,PASSED,4745
7,[  255  :  255  :  255  :  238  ],Rx,PASSED,4755
8,[  255  :  255  :  255  :  238  ],Rx,PASSED,4762
9,[  0  :  0  :  3  :  234  ],Rx,PASSED,4771
10,[  0  :  0  :  0  :  90  ],Rx,PASSED,4786
11,[  0  :  0  :  1  :  143  ],Rx,PASSED,4798
12,[  0  :  0  :  0  :  28  ],Rx,PASSED,4805
3,[  255  :  158  :  250  :  144  ],Rx,PASSED,4821
4,[  255  :  243  :  254  :  148  ],Rx,PASSED,4832
5,[  0  :  14  :  60  :  136  ],Rx,PASSED,4843
7,[  255  :  255  :  255  :  239  ],Rx,PASSED,4858
8,[  255  :  255  :  255  :  234  ],Rx,PASSED,4867
9,[  0  :  0  :  3  :  228  ],Rx,PASSED,4876
10,[  255  :  255  :  255  :  163  ],Rx,PASSED,4893
11,[  0  :  0  :  1  :  82  ],Rx,PASSED,4906
12,[  0  :  0  :  0  :  150  ],Rx,PASSED,4913
3,[  255  :  158  :  250  :  144  ],Rx,PASSED,4928
4,[  255  :  243  :  254  :  148  ],Rx,PASSED,4936
5,[  0  :  14  :  60  :  136  ],Rx,PASSED,4946
7,[  255  :  255  :  255  :  239  ],Rx,PASSED,4958
8,[  255  :  255  :  255  :  234  ],Rx,PASSED,4973
9,[  0  :  0  :  3  :  228  ],Rx,PASSED,4984
10,[  255  :  255  :  255  :  163  ],Rx,PASSED,5000
11,[  0  :  0  :  1  :  82  ],Rx,PASSED,5002
12,[  0  :  0  :  0  :  150  ],Rx,PASSED,5016
3,[  255  :  160  :  250  :  248  ],Rx,PASSED,5026
4,[  255  :  244  :  254  :  196  ],Rx,PASSED,5036
5,[  0  :  13  :  60  :  220  ],Rx,PASSED,5049
7,[  255  :  255  :  255  :  245  ],Rx,PASSED,5050
8,[  255  :  255  :  255  :  237  ],Rx,PASSED,5066
9,[  0  :  0  :  3  :  233  ],Rx,PASSED,5075
10,[  0  :  0  :  0  :  29  ],Rx,PASSED,5086
11,[  0  :  0  :  1  :  143  ],Rx,PASSED,5099
12,[  0  :  0  :  0  :  89  ],Rx,PASSED,5109
1,[  0  :  224  :  94  :  192  ],Rx,PASSED,5119
2,[  0  :  0  :  0  :  0  ],Rx,PASSED,5128
30,[  0  :  0  :  0  :  0  ],Rx,PASSED,5141
3,[  255  :  159  :  251  :  0  ],Rx,PASSED,5150
4,[  255  :  237  :  254  :  148  ],Rx,PASSED,5160
5,[  0  :  13  :  60  :  148  ],Rx,PASSED,5173
7,[  255  :  255  :  255  :  245  ],Rx,PASSED,5184
8,[  255  :  255  :  255  :  234  ],Rx,PASSED,5195
9,[  0  :  0  :  3  :  229  ],Rx,PASSED,5209
10,[  255  :  255  :  255  :  224  ],Rx,PASSED,5220
11,[  255  :  255  :  255  :  228  ],Rx,PASSED,5230
12,[  0  :  0  :  0  :  89  ],Rx,PASSED,5243
13,[  127  :  175  :  235  :  250  ],Rx,PASSED,5254
14,[  127  :  255  :  244  :  3  ],Rx,PASSED,5264
15,[  127  :  191  :  236  :  0  ],Rx,PASSED,5280
3,[  255  :  158  :  251  :  64  ],Rx,PASSED,5293
4,[  255  :  230  :  254  :  120  ],Rx,PASSED,5301
5,[  0  :  11  :  60  :  44  ],Rx,PASSED,5310
7,[  255  :  255  :  255  :  249  ],Rx,PASSED,5324
8,[  255  :  255  :  255  :  233  ],Rx,PASSED,5335
9,[  0  :  0  :  3  :  223  ],Rx,PASSED,5350
10,[  255  :  255  :  255  :  163  ],Rx,PASSED,5351
11,[  255  :  255  :  254  :  57  ],Rx,PASSED,5362
12,[  255  :  255  :  255  :  223  ],Rx,PASSED,5376
3,[  255  :  158  :  251  :  64  ],Rx,PASSED,5386
4,[  255  :  230  :  254  :  120  ],Rx,PASSED,5398
5,[  0  :  11  :  60  :  44  ],Rx,PASSED,5410
7,[  255  :  255  :  255  :  249  ],Rx,PASSED,5419
8,[  255  :  255  :  255  :  233  ],Rx,PASSED,5429
9,[  0  :  0  :  3  :  223  ],Rx,PASSED,5439
10,[  255  :  255  :  255  :  163  ],Rx,PASSED,5453
11,[  255  :  255  :  254  :  57  ],Rx,PASSED,5464
12,[  255  :  255  :  255  :  223  ],Rx,PASSED,5477
3,[  255  :  159  :  250  :  124  ],Rx,PASSED,5487
4,[  255  :  232  :  254  :  120  ],Rx,PASSED,5500
5,[  0  :  13  :  60  :  108  ],Rx,PASSED,5502
7,[  255  :  255  :  255  :  237  ],Rx,PASSED,5512
8,[  255  :  255  :  255  :  233  ],Rx,PASSED,5522
9,[  0  :  0  :  3  :  227  ],Rx,PASSED,5536
10,[  255  :  255  :  255  :  224  ],Rx,PASSED,5547
11,[  255  :  255  :  254  :  179  ],Rx,PASSED,5560
12,[  0  :  0  :  0  :  89  ],Rx,PASSED,5569
3,[  255  :  159  :  250  :  76  ],Rx,PASSED,5577
4,[  255  :  237  :  254  :  212  ],Rx,PASSED,5587
5,[  0  :  12  :  60  :  148  ],Rx,PASSED,5600
7,[  255  :  255  :  255  :  234  ],Rx,PASSED,5610
8,[  255  :  255  :  255  :  238  ],Rx,PASSED,5622
9,[  0  :  0  :  3  :  229  ],Rx,PASSED,5637
10,[  255  :  255  :  255  :  224  ],Rx,PASSED,5648
11,[  255  :  255  :  255  :  228  ],Rx,PASSED,5657
12,[  0  :  0  :  0  :  28  ],Rx,PASSED,5671
3,[  255  :  160  :  250  :  100  ],Rx,PASSED,5681
4,[  255  :  242  :  255  :  24  ],Rx,PASSED,5688
5,[  0  :  10  :  61  :  24  ],Rx,PASSED,5700
